post_title,group_name,discovered,description,website,published
maketherightcall.com hk-callcentre,alphv,2022-02-06 00:28:50.698587,,,
watermark,lockbit2,2022-02-06 05:19:22.242784,,,
se.,lockbit2,2022-02-06 16:18:20.488150,,,
sapulpaps.com,lockbit2,2022-02-06 21:21:25.127663,,,
MSH Steuerberatungsgesellschaft,conti,2022-02-07 00:21:40.320531,,,
KP SNACKS,conti,2022-02-07 00:21:40.687359,,,
Athens Distributing Company,conti,2022-02-07 00:21:40.876412,,,
NZ UNIFORMS,conti,2022-02-07 00:21:41.070184,,,
Zamil Industrial,conti,2022-02-07 06:22:21.185107,,,
bayer.co.at,lockbit2,2022-02-07 13:23:25.838053,,,
"Prince Jewellery & Watch Co., Ltd.",blackbyte,2022-02-07 22:24:58.907104,,,
Dassault Falcon Jet,mountlocker,2022-02-08 14:26:33.620994,,,
SEA-invest,conti,2022-02-08 14:28:51.588002,,,
tntorello.com -...,lockbit2,2022-02-08 10:23:14.488677,,,
tntorello.com,lockbit2,2022-02-08 10:23:14.741508,,,
Community Health Center | Valle del Sol,suncrypt,2022-02-08 11:20:57.765837,,,
Heartland Alliance,suncrypt,2022-02-08 11:20:57.985868,,,
skandia.com.mx,lockbit2,2022-02-08 15:28:46.258343,,,
aludesign.ro,lockbit2,2022-02-08 15:28:46.486177,,,
ibasis.com | Pa...,lockbit2,2022-02-08 17:26:35.939575,,,
chemtech.net,alphv,2022-02-08 19:30:17.368631,,,
"Venture Machine & Tool, Inc.",blackbyte,2022-02-08 20:24:24.052241,,,
Aeronamic,blackbyte,2022-02-08 20:24:24.363278,,,
bishopeye.com,alphv,2022-02-08 23:27:43.242738,,,
The Lovett Group,conti,2022-02-09 00:32:23.538216,,,
Jazeera Airways,quantum,2022-02-09 01:47:19.809678,,,
cilent,lockbit2,2022-02-09 15:22:35.722663,,,
Weir & Partners LLP,everest,2022-02-09 17:27:39.382120,,,
PetroVietnam,snatch,2022-02-09 21:25:15.183067,,,
Rheinland-Pfalz Bank,conti,2022-02-10 23:22:27.907087,,,
Vrancor Group,conti,2022-02-11 00:26:41.230668,,,
New World Development Company Limited (NWD),conti,2022-02-11 00:26:41.540575,,,
HelmsBriscoe,conti,2022-02-11 00:26:41.810974,,,
Aareon Nederland B.V.,conti,2022-02-11 00:26:42.030983,,,
ufa.com.lb,lv,2022-02-11 14:23:43.356339,,,
ibasis.com,lockbit2,2022-02-11 17:19:59.590277,,,
J,midas,2022-02-12 04:26:56.134981,,,
New-New2,midas,2022-02-12 09:23:03.914137,,,
Ebix Inc.,conti,2022-02-12 11:22:27.224279,,,
San Francisco 49ers,blackbyte,2022-02-12 18:22:03.252056,,,
idm-srl.it,lockbit2,2022-02-12 20:21:50.235180,,,
gruges.com.mx,lockbit2,2022-02-12 20:21:50.607538,,,
iTCo Solutions Ltd,conti,2022-02-13 00:30:15.177408,,,
i,lockbit2,2022-02-13 08:21:00.666120,,,
zhulian.co.th,lockbit2,2022-02-13 11:19:39.439668,,,
New3,midas,2022-02-13 14:24:25.441243,,,
rbhltd.com,lockbit2,2022-02-13 15:24:52.649412,,,
cclint.com,lockbit2,2022-02-13 15:24:52.914985,,,
wingsoft.it,lockbit2,2022-02-13 16:29:44.373258,,,
Quantel Medical | quantel-medical.com,alphv,2022-02-13 16:30:00.421545,,,
NorthEast Coverages | northeastcoverages.com,alphv,2022-02-13 16:30:00.808646,,,
Scherr Legate | scherrlegate.com,alphv,2022-02-13 16:30:01.097372,,,
Medical Staff | medicalstaff.com.au,alphv,2022-02-13 16:30:01.746342,,,
ecostampa.it,alphv,2022-02-14 08:23:37.068309,,,
trustinnews.pt,lockbit2,2022-02-14 12:21:50.890664,,,
meeuwesen.nl,lockbit2,2022-02-14 12:21:51.201966,,,
sienaliteracy.o...,lockbit2,2022-02-14 12:21:51.469796,,,
www.tikg.co.jp,lv,2022-02-14 12:22:08.258009,,,
o2fit.cl,lockbit2,2022-02-14 20:32:36.559241,,,
ackmo.be,lockbit2,2022-02-14 20:32:37.024492,,,
pwma.org.hk,lockbit2,2022-02-14 20:32:37.345177,,,
Muehlhan,conti,2022-02-14 20:32:45.434308,,,
Vehicle Service Group (VSG),marketo,2022-02-14 20:32:48.096765,,,
hifly.aero,lockbit2,2022-02-14 23:26:25.080943,,,
Ciam SPA,conti,2022-02-15 00:29:22.475746,,,
Swissport,alphv,2022-02-15 00:29:25.518281,,,
GEE GROUP INC.,conti,2022-02-15 08:21:59.088218,,,
KVK Tech | Specialty Brands and Generics,suncrypt,2022-02-15 14:29:08.141629,,,
beautyindustryg...,lockbit2,2022-02-15 17:21:44.104143,,,
codisel.com.mx,lockbit2,2022-02-15 18:25:52.950416,,,
POP TV,ransomexx,2022-02-15 21:24:21.160543,,,
gruporoveri.com.br,lv,2022-02-16 00:31:39.371137,,,
HyLife,alphv,2022-02-16 10:44:54.147772,,,
Southwark Metal Manufacturing Co.  |   southwarkmetal.com,alphv,2022-02-16 15:25:16.759939,,,
enit.it,lockbit2,2022-02-18 08:31:44.349967,,,
Doherty Cella Keane | dcklaw.com,alphv,2022-02-18 08:34:37.520798,,,
yipintsoi.com,alphv,2022-02-18 08:34:37.556191,,,
CSI Laboratories,conti,2022-02-18 10:21:54.112391,,,
heritage-encon,cuba,2022-02-18 18:25:08.564931,,,
muntons,cuba,2022-02-18 18:25:09.044732,,,
Miroballi Durkin & Rudin - mdr-law.com,alphv,2022-02-18 18:25:11.298979,,,
OPS omniplussystem.com,lv,2022-02-18 19:23:06.358202,,,
threesixtysourcing.com,alphv,2022-02-18 19:23:07.470161,,,
botswanatourism...,lockbit2,2022-02-19 10:21:47.856682,,,
sanvitale.ra.it,lockbit2,2022-02-19 10:21:48.123773,,,
kokuyocamlin.co...,lockbit2,2022-02-19 10:21:48.398218,,,
pertusipastore....,lockbit2,2022-02-19 10:21:48.808461,,,
"Mack Defense, LLC",conti,2022-02-19 11:21:51.144925,,,
centralia.edu,lockbit2,2022-02-19 12:24:27.097894,,,
brookledge.com,lockbit2,2022-02-19 12:24:27.499019,,,
Various accesses on sale,everest,2022-02-19 12:24:40.032546,,,
oceantextile.dk,lockbit2,2022-02-19 13:28:41.472380,,,
taylorswindows....,lockbit2,2022-02-19 16:20:16.170378,,,
asgcourtage.com,lockbit2,2022-02-19 16:20:16.443262,,,
centrictel.com,lockbit2,2022-02-19 16:20:16.703802,,,
plane.biz,lockbit2,2022-02-19 16:20:17.011274,,,
strix.com,lockbit2,2022-02-19 16:20:17.416717,,,
maldegem.be,lockbit2,2022-02-19 16:20:17.689808,,,
partners.pia.be,lockbit2,2022-02-19 16:20:17.866415,,,
www.pccua.edu,alphv,2022-02-19 17:19:05.487315,,,
PFEIFER Drako,snatch,2022-02-19 18:26:37.599527,,,
CIELD,snatch,2022-02-19 18:26:37.989589,,,
bynx.com,lockbit2,2022-02-20 11:17:35.427569,,,
weye,lockbit2,2022-02-20 21:23:24.502427,,,
Signum,everest,2022-02-20 21:23:39.941741,,,
gpvivienda.com,lockbit2,2022-02-21 15:21:48.356333,,,
groupe-sobotram...,lockbit2,2022-02-21 15:21:50.719654,,,
CENTRAL BAPTIST COLLEGE,suncrypt,2022-02-21 16:24:20.153596,,,
Royal Smilde,suncrypt,2022-02-21 23:18:51.377161,,,
SOUTHWARK METAL MANUFACTURING,midas,2022-02-22 06:21:58.510979,,,
RAMSAUER,conti,2022-02-23 00:23:28.707053,,,
Tudi Mechanical Systems (TMS),conti,2022-02-23 00:23:28.956831,,,
Phyllis Browning Company | phyllisbrowning.com,alphv,2022-02-23 00:23:32.421411,,,
S,midas,2022-02-23 13:21:48.950592,,,
photolitto.com,lockbit2,2022-02-23 14:20:52.587152,,,
komeg.de,lockbit2,2022-02-23 17:22:35.324857,,,
trauma.lbg.ac.a...,lockbit2,2022-02-23 17:22:35.739772,,,
blueocean.consu...,lockbit2,2022-02-23 17:22:36.075186,,,
stetsonexpo.,lockbit2,2022-02-23 19:19:16.589227,,,
lipinsk,lockbit2,2022-02-23 20:26:07.617906,,,
Schultze and Braun,conti,2022-02-24 00:21:13.488960,,,
Apollo,conti,2022-02-24 00:21:13.726277,,,
verisilicon.co,lockbit2,2022-02-24 10:22:23.279937,,,
m,lockbit2,2022-02-24 17:31:24.749598,,,
dtstechnical.c,lockbit2,2022-02-24 22:21:51.465583,,,
ITS InfoCom,hive,2022-02-25 12:23:24.707849,,,
EBM,hive,2022-02-25 12:23:24.722248,,,
Doner,hive,2022-02-25 12:23:24.735922,,,
Powerhouse1,hive,2022-02-25 12:23:24.749615,,,
Friedrich,hive,2022-02-25 12:23:24.763531,,,
Emil Frey,hive,2022-02-25 12:23:24.777568,,,
Eurocoin Interactive B.V.,hive,2022-02-25 12:23:24.880937,,,
Rodonaves Transportes E Encomendas Ltda,hive,2022-02-25 12:23:24.926166,,,
Midas Pharma GmbH,conti,2022-02-25 00:26:24.170044,,,
Primex Manufacturing Inc,conti,2022-02-25 00:26:24.574516,,,
KRACHT GmbH,conti,2022-02-25 00:26:24.845226,,,
JOB AG,conti,2022-02-25 00:26:25.350569,,,
Colli del Soligo,conti,2022-02-25 00:26:25.689155,,,
"Hyundai Samho Heavy Industries Co.,Ltd. (South Korea)",hive,2022-02-25 14:52:08.814780,,,
Centre D'Odontologia Integrada Miret-Puig,hive,2022-02-25 14:52:08.840287,,,
Institute For Systems And Robotics (Isr-Lisboa,hive,2022-02-25 14:52:08.874208,,,
Drake & Scull International PJSC,hive,2022-02-25 14:52:08.890178,,,
"Supernus Pharmaceuticals, NASDAQ: SUPN",hive,2022-02-25 14:52:08.907992,,,
"Shanghai Huizhong Automotive Manufacturing Co., Ltd.",hive,2022-02-25 14:52:08.933896,,,
Tite - Live Belgique,hive,2022-02-25 14:52:08.948703,,,
"Ningbo Dechang Electric Machinery Manufacturing Co., Ltd.",hive,2022-02-25 14:52:08.963091,,,
"Guts Superpols Co., Ltd.",hive,2022-02-25 14:52:09.021174,,,
Rocky's Ace Hardware,hive,2022-02-25 14:52:09.084236,,,
BERMAN SOBIN GROSS & DARBY,hive,2022-02-25 15:23:19.424086,,,
MAS & Coronis Health,hive,2022-02-25 15:23:19.481107,,,
Sit'N Sleep,hive,2022-02-25 15:23:19.534409,,,
Palacios & Asociados,hive,2022-02-25 15:23:19.569017,,,
Steven L. Sugarman & Associates,hive,2022-02-25 15:23:19.644238,,,
Drake & Scull International PJSC,hive,2022-02-25 15:23:19.665308,,,
JinkoSolar.com (NYSE: JKS),alphv,2022-02-25 07:27:04.437135,,,
fehrs.com,lockbit2,2022-02-25 12:19:30.784842,,,
The Spine Diagnostic,conti,2022-02-25 12:19:47.983925,,,
WARNING,conti,2022-02-25 16:22:17.709569,,,
GEMS Education,alphv,2022-02-25 16:22:21.568126,,,
ids97,cuba,2022-02-25 17:30:44.591913,,,
McDonald's,snatch,2022-02-25 18:24:53.631694,,,
GEMS Education | gemseducation.com,alphv,2022-02-25 18:24:55.502825,,,
Research Partnership,conti,2022-02-26 00:25:26.555841,,,
IDEAL Fensterbau,conti,2022-02-26 00:25:27.068950,,,
HF Group,conti,2022-02-26 00:25:27.550786,,,
giovanard,lockbit2,2022-02-26 04:18:28.540699,,,
University of Neuchâtel,conti,2022-02-26 09:22:21.211089,,,
MADRID CALLE 30 SA ( https://www.mc30.es/ ),alphv,2022-02-26 09:22:25.455950,,,
giovana,lockbit2,2022-02-26 14:23:46.005970,,,
chip,lockbit2,2022-02-26 16:22:57.667982,,,
ffnm.org,lockbit2,2022-02-27 13:25:51.281518,,,
cgm,lockbit2,2022-02-27 14:22:27.135750,,,
WARNING,lockbit2,2022-02-27 17:22:44.693589,,,
ugcorp.com,lockbit2,2022-02-27 18:22:53.157659,,,
us.jll.com,lockbit2,2022-02-27 19:22:52.762581,,,
richmondmonroe....,lockbit2,2022-02-27 20:23:52.829373,,,
lakeview.com,lockbit2,2022-02-27 21:19:09.726620,,,
jamailsmith.com,lockbit2,2022-02-28 12:28:05.753231,,,
safed.in,lockbit2,2022-02-28 13:28:13.249900,,,
"GHI Hornos Industriales  first batch of Data (0,1%)",ragnarlocker,2022-02-28 17:30:43.932369,,,
aria-label=Google>,sabbath,2022-02-28 18:25:03.577007,,,
ccli,lockbit2,2022-02-28 19:22:38.366856,,,
InfoTek Consulting Services,quantum,2022-02-28 21:20:44.616236,,,
Long Fence | Fence Company Since 1945 | longfence.com,alphv,2022-02-28 23:20:52.095296,,,
"Waller Lansden Dortch & Davis, LLP",alphv,2022-03-01 08:22:11.714963,,,
e-fmc.com.ar,lockbit2,2022-03-01 16:21:57.108084,,,
wp,lockbit2,2022-03-01 23:26:47.810934,,,
HOL-MAC Corp.,conti,2022-03-02 04:20:22.638711,,,
www.wimmog.ch,lockbit2,2022-03-02 11:24:45.953172,,,
www.elitecorp.c...,lockbit2,2022-03-02 12:22:01.530015,,,
www.haeny.com,lockbit2,2022-03-02 13:20:14.095234,,,
www.tccm.com,lockbit2,2022-03-02 14:23:15.157556,,,
elitecorp.com,lockbit2,2022-03-02 19:22:13.439237,,,
haeny.com,lockbit2,2022-03-02 20:20:56.538656,,,
wimmog.ch,lockbit2,2022-03-02 21:35:25.218734,,,
tccm.com,lockbit2,2022-03-02 22:24:18.954964,,,
Buhck Gruppe,conti,2022-03-03 00:25:15.278260,,,
GRUPPO ANGELANTONI,conti,2022-03-03 01:48:55.698551,,,
Sport Vision,conti,2022-03-03 02:39:31.580752,,,
sapulpaps.org,lockbit2,2022-03-03 04:22:27.741850,,,
simatelex.com.h...,lockbit2,2022-03-03 15:23:21.984634,,,
Private company #2,snatch,2022-03-03 20:18:46.999835,,,
Get Fresh Company,conti,2022-03-04 00:31:26.406548,,,
United McGill Corporation,conti,2022-03-04 01:45:30.603786,,,
Caledonian,conti,2022-03-04 02:44:26.466422,,,
Gleason Corporation,conti,2022-03-04 03:25:08.101454,,,
Prima Power,conti,2022-03-04 04:21:17.071704,,,
A.J. Rose,conti,2022-03-04 05:23:11.315371,,,
tovogom,lockbit2,2022-03-04 09:23:09.261759,,,
freedomfarmspa....,lockbit2,2022-03-04 11:28:13.481686,,,
PAN AMERICAN ENERGY S.L. SUCURSAL ARGENTINA,hive,2022-03-04 12:23:23.447181,,,
Lifetech Resources,conti,2022-03-04 14:24:32.693467,,,
GHI Hornos Industriales Fully Leaked,ragnarlocker,2022-03-04 23:21:32.185317,,,
Assimoco Group | assimoco.it,alphv,2022-03-05 09:25:40.111596,,,
abcp.or,lockbit2,2022-03-05 15:22:31.965364,,,
Cummins-Wagner,conti,2022-03-06 00:26:13.084462,,,
BAUCENTER   |   ujhazbudapest.hu,alphv,2022-03-07 00:51:57.179537,,,
Centro Hospitalar de Setúbal,everest,2022-03-07 04:21:40.355405,,,
luzeirosfortale.,lockbit2,2022-03-07 05:23:57.499934,,,
Federal land inc.,everest,2022-03-07 06:21:29.406488,,,
"Campbell Sales and Service, Inc",everest,2022-03-07 07:22:54.373299,,,
Law Offices of Brandon Sua &#038; Associates,everest,2022-03-07 08:23:23.766927,,,
Greenberg &#038; Stein New York City Personal Injury Lawyers,everest,2022-03-07 09:22:32.751206,,,
brownsville-pub...,lockbit2,2022-03-07 10:23:48.292740,,,
"Backus, Meyer &#038; Branch, LLP",everest,2022-03-07 11:20:53.496427,,,
Gershon Biegeleisen &#038; Co,everest,2022-03-07 12:21:30.674655,,,
"BEAUTYWEST, INC.",everest,2022-03-07 13:33:40.953126,,,
jrichard-paysag...,lockbit2,2022-03-07 14:20:56.014185,,,
stanthonys.slou...,lockbit2,2022-03-07 15:22:49.653082,,,
Ledcor,everest,2022-03-07 16:23:19.140026,,,
IDFC FIRST Bank,everest,2022-03-07 17:25:38.247767,,,
Loepthien Maeder Treuhand AG,conti,2022-03-07 18:26:18.628877,,,
EUROPA GROUP,conti,2022-03-07 19:24:54.187928,,,
Turner Construction Company,everest,2022-03-07 20:20:22.114231,,,
INVIMA,blackbyte,2022-03-07 21:20:09.558620,,,
Fujioka Eletro Imagem SA,conti,2022-03-07 22:21:59.293417,,,
Fuchs North America,conti,2022-03-07 23:21:28.516012,,,
Warren Resources,snatch,2022-03-08 00:24:48.879128,,,
Xtera,snatch,2022-03-08 01:45:35.615056,,,
Carpenter & Zuckerman | cz.law,alphv,2022-03-08 02:40:34.003378,,,
XEFI,everest,2022-03-08 18:25:22.534613,,,
Myron Corp.,conti,2022-03-08 22:22:06.378799,,,
hamm,lockbit2,2022-03-08 23:18:50.884048,,,
TST Logistics,conti,2022-03-09 00:24:39.820762,,,
Great HealthWorks,conti,2022-03-09 01:52:36.481345,,,
Aluminerie Alouette,conti,2022-03-09 07:19:15.341154,,,
bridgestoneamer...,lockbit2,2022-03-09 23:20:58.713212,,,
fer,lockbit2,2022-03-10 01:44:20.401537,,,
bioskin.sg,lockbit2,2022-03-10 12:26:06.016750,,,
tingtong.com.cn,lockbit2,2022-03-11 09:18:24.065209,,,
weber-betonpump..,lockbit2,2022-03-11 10:19:00.439571,,,
sysmac.com.sg,lockbit2,2022-03-11 20:21:38.828904,,,
SPERONI SpA,everest,2022-03-11 21:21:12.179087,,,
ymcad,lockbit2,2022-03-12 07:20:23.047849,,,
bedfordshire.police.uk,arvinclub,2022-03-12 08:20:51.499861,,,
orientalaromati...,lockbit2,2022-03-12 11:20:47.213052,,,
cachibi.co,lockbit2,2022-03-12 12:19:13.830500,,,
etg.digital,lockbit2,2022-03-12 13:21:00.894238,,,
inibsa.com | inibsadental.com | inibsa.net,alphv,2022-03-12 14:20:34.455215,,,
snteseccion30sa...,lockbit2,2022-03-12 16:20:02.634310,,,
XEFI / Neocyber,everest,2022-03-12 21:19:13.806217,,,
SENADO Argentina,vicesociety,2022-03-13 00:25:56.529881,,,
scanvogn.com,lockbit2,2022-03-13 06:23:17.265232,,,
ikk-group.com,lockbit2,2022-03-13 07:19:48.786288,,,
ambujaneotia.co...,lockbit2,2022-03-13 08:19:12.348492,,,
danubiushotels....,lockbit2,2022-03-13 09:16:15.438971,,,
etrps.de,lockbit2,2022-03-13 10:20:04.445749,,,
News,everest,2022-03-14 09:18:54.878387,,,
UK GOV,everest,2022-03-14 14:21:04.396176,,,
Smith Transport Full Leak,ragnarlocker,2022-03-14 17:21:12.453202,,,
snteseccion30sa..,lockbit2,2022-03-14 18:19:30.184373,,,
inibsa.net,alphv,2022-03-14 21:22:00.762314,,,
Monteleone & McCrory LLP,alphv,2022-03-14 22:22:04.338143,,,
Viva Air,ransomexx,2022-03-14 23:24:48.683525,,,
f,lockbit2,2022-03-15 06:22:32.762111,,,
Ward Hadaway,lorenz,2022-03-15 13:25:57.796695,,,
VadaTech,lorenz,2022-03-15 14:27:29.234612,,,
Fuji America Corporation,lorenz,2022-03-15 15:24:26.047271,,,
Instituto Nacional de Tecnología Agropecuaria,everest,2022-03-15 18:21:39.957240,,,
Grcouceiro,midas,2022-03-15 19:21:55.734087,,,
mfi,lockbit2,2022-03-15 21:19:31.243239,,,
Migros,suncrypt,2022-03-16 06:20:19.023836,,,
medinadairy.co....,lockbit2,2022-03-16 07:21:57.504306,,,
vbsharma.ca,lockbit2,2022-03-16 12:23:21.698050,,,
matteolisrl.it,lockbit2,2022-03-16 13:27:28.871026,,,
Bullfrog International | bullfrogspas.com,alphv,2022-03-16 14:20:53.537610,,,
www.rebuildingt...,lockbit2,2022-03-16 17:26:32.791339,,,
www.comune.vill...,lockbit2,2022-03-16 18:22:09.119775,,,
taguefamilyprac...,lockbit2,2022-03-16 19:20:26.487413,,,
drory.com.cn,lockbit2,2022-03-16 20:37:59.124748,,,
www.onedoc.ch/f...,lockbit2,2022-03-17 10:07:01.607963,,,
vvrmc.org | Par...,lockbit2,2022-03-17 10:07:01.623055,,,
sbctanzania.co....,lockbit2,2022-03-17 10:07:01.640961,,,
Rosewd,pandora,2022-03-17 10:07:14.618956,,,
GlobalWafers Japan,pandora,2022-03-17 10:07:14.633729,,,
"Jaffe Raitt Heuer & Weiss, P.C.",pandora,2022-03-17 10:07:14.648292,,,
Milan Institute,conti,2022-03-17 11:05:11.644396,,,
Empire Electronics Inc.,conti,2022-03-17 11:05:11.662199,,,
IMT GROUP,conti,2022-03-17 11:05:11.683143,,,
Managed Business Solutions,conti,2022-03-17 11:05:11.697789,,,
AllOffice,conti,2022-03-17 11:05:11.712905,,,
comune.villafra...,lockbit2,2022-03-17 03:52:13.016329,,,
onedoc.ch/fr/ca...,lockbit2,2022-03-17 04:25:19.370699,,,
rebuildingtoget...,lockbit2,2022-03-17 05:23:45.194691,,,
M.T.B.,alphv,2022-03-17 06:24:19.056458,,,
rosslare.com.hk,lockbit2,2022-03-17 16:22:06.203241,,,
ihg.com,lockbit2,2022-03-17 17:24:20.979683,,,
lawsdn.com,lockbit2,2022-03-17 18:23:45.501622,,,
FitFlop Ltd.,suncrypt,2022-03-17 19:23:53.631302,,,
specialinc.com,lockbit2,2022-03-17 20:21:52.140644,,,
aetnabridge.com,lockbit2,2022-03-17 21:22:21.376433,,,
hilltopconstruc...,lockbit2,2022-03-17 22:25:12.015387,,,
finances.gouv.c...,lockbit2,2022-03-17 23:24:53.799922,,,
montanarisrl.ne...,lockbit2,2022-03-18 00:30:44.855913,,,
thionvillenola....,lockbit2,2022-03-18 01:58:21.228934,,,
ifis.com.sg,lockbit2,2022-03-18 02:44:41.637003,,,
South Africa Electricity company,everest,2022-03-18 03:25:21.353666,,,
TIG,conti,2022-03-18 04:28:13.767026,,,
Noble Oil | nobleoil.com,alphv,2022-03-18 05:24:08.250303,,,
gezairi.com,lockbit2,2022-03-18 08:23:24.358886,,,
www.centralacci...,lockbit2,2022-03-18 09:21:15.606604,,,
draftex.de,lockbit2,2022-03-18 10:23:11.882226,,,
genesis.ky,lockbit2,2022-03-18 11:23:14.901257,,,
kbkbcpa.com/,lockbit2,2022-03-18 12:23:00.378607,,,
solvi.com,lockbit2,2022-03-18 13:23:53.997529,,,
megaproductos.c...,lockbit2,2022-03-18 14:26:51.631106,,,
centralaccident...,lockbit2,2022-03-18 15:23:09.392794,,,
kbkbcpa.com,lockbit2,2022-03-18 16:22:07.237518,,,
dgordonlcswr.co...,lockbit2,2022-03-18 17:24:53.495867,,,
1,midas,2022-03-18 18:22:58.828483,,,
vri.maniberia.net,alphv,2022-03-18 19:23:44.435252,,,
NSM Insurance Group,hive,2022-03-18 20:25:58.861183,,,
unapen.internal,alphv,2022-03-18 21:25:11.281431,,,
NORDEX FOOD,conti,2022-03-18 22:23:43.269910,,,
Talent Logic Inc.,conti,2022-03-18 23:24:16.124974,,,
BDX,conti,2022-03-19 00:32:53.903738,,,
bChannels Ltd.,conti,2022-03-19 01:48:18.941992,,,
"Normandeau Associates, Inc.",conti,2022-03-19 02:42:57.779084,,,
jewelry.org.hk,lockbit2,2022-03-19 06:29:25.069227,,,
denro.ca,lockbit2,2022-03-19 08:21:19.720288,,,
pla-pumpen,lockbit2,2022-03-19 14:29:50.755566,,,
BAUKING,conti,2022-03-19 21:23:16.915991,,,
PFC USA,conti,2022-03-20 00:34:02.815739,,,
MJH Life Sciences,conti,2022-03-20 01:50:52.638104,,,
connectcec.com,lockbit2,2022-03-20 09:23:07.516295,,,
danubius-exim.r...,lockbit2,2022-03-20 10:23:55.609644,,,
Scottish Association for Mental Health,ransomexx,2022-03-20 11:24:11.432921,,,
meritresources,lockbit2,2022-03-20 12:20:04.663100,,,
stormous,arvinclub,2022-03-20 17:23:46.299448,,,
museum-dingolfi...,lockbit2,2022-03-20 22:24:55.716912,,,
bbst-clp.de,lockbit2,2022-03-20 23:20:12.232507,,,
besp-oak.com,lockbit2,2022-03-21 00:41:47.643604,,,
onglesdor.com,lockbit2,2022-03-21 01:53:13.907370,,,
rh-europe.com,lockbit2,2022-03-21 02:49:15.497449,,,
STUDIO PEREGO S...,lockbit2,2022-03-21 03:28:56.095525,,,
zabel-group.de,lockbit2,2022-03-21 04:22:57.944680,,,
chicagosteelgro...,lockbit2,2022-03-21 05:21:36.122803,,,
tomlinsonelectr...,lockbit2,2022-03-21 06:22:40.166024,,,
ismea.it,lockbit2,2022-03-21 07:21:19.464688,,,
Bigmtransport,midas,2022-03-21 08:27:55.343366,,,
HAVI Logistic | havilog.com | PART 1,alphv,2022-03-21 09:24:24.192864,,,
Abrams & Bayliss LLP,alphv,2022-03-21 10:21:31.136701,,,
BERITASATUMEDIA.COM,alphv,2022-03-21 12:25:43.354650,,,
sete.co.u,lockbit2,2022-03-21 14:31:08.170773,,,
OCA Global,conti,2022-03-21 17:25:19.329119,,,
Company ENOS PROPERTIES,stormous,2022-03-22 09:55:50.144029,,,
Core Design,stormous,2022-03-22 09:55:50.158959,,,
Aurora hacked data,stormous,2022-03-22 09:55:50.173182,,,
apec-capital.co...,lockbit2,2022-03-22 07:21:26.368257,,,
Polynt Group,hive,2022-03-22 09:19:35.686007,,,
Centerline Communication Llc,hive,2022-03-22 10:24:04.699185,,,
"Dayton T. Brown, Inc",hive,2022-03-22 11:23:46.975576,,,
Centurion Stone,hive,2022-03-22 12:21:38.907350,,,
Rotoplas,hive,2022-03-22 13:26:02.241687,,,
School District Of Janesville,hive,2022-03-22 14:20:42.618495,,,
UCSI University,hive,2022-03-22 15:20:56.479758,,,
Ministry For Foreign Affairs Of The Republic Of Indonesia,hive,2022-03-22 16:28:10.493061,,,
GomeA,hive,2022-03-22 17:29:56.926264,,,
Otto Dörner GmbH & Co. KG,hive,2022-03-22 18:20:59.892951,,,
ca.daiyafoods.c...,lockbit2,2022-03-22 20:22:26.199599,,,
Anac,conti,2022-03-22 21:21:30.505032,,,
edukgroup.com,lockbit2,2022-03-22 22:20:33.790338,,,
Sanoh America Inc.,conti,2022-03-22 23:23:57.742927,,,
WELCOME HOTELS,conti,2022-03-23 00:34:45.962324,,,
Sav-Rx Prescription Services,conti,2022-03-23 01:51:30.288685,,,
Satz Kontor GmbH data,stormous,2022-03-23 02:52:32.090360,,,
Griggsville-Perry High School,vicesociety,2022-03-23 06:24:11.306452,,,
ICEHOTEL,vicesociety,2022-03-23 07:23:25.839154,,,
lazpiur.com,lockbit2,2022-03-23 08:31:42.465165,,,
inibsa.com | inibsadental.com | inibsa.net 2TB FULL DATA,alphv,2022-03-23 09:25:53.413935,,,
powertech,cuba,2022-03-23 10:33:10.543396,,,
Maintainco Inc. | maintainco.com | starlift.com,alphv,2022-03-23 11:26:02.148295,,,
"KELLY,REMMEL&ZIMMERMAN first part",alphv,2022-03-23 12:25:10.881840,,,
avidoc.fr,lockbit2,2022-03-23 13:34:48.841509,,,
Wibag Bau Ag,hive,2022-03-23 14:35:57.655281,,,
Instituto De Gesto Estratégica De Sade Do Distrito Federal,hive,2022-03-23 15:24:01.200845,,,
crich.it,lockbit2,2022-03-23 16:26:16.562147,,,
confindustriaca...,lockbit2,2022-03-23 17:25:01.150746,,,
haltonhills,cuba,2022-03-23 18:27:09.824898,,,
Ministry of Economy and Finance of Peru,everest,2022-03-23 19:35:27.657749,,,
NetCompany,midas,2022-03-23 20:23:14.591080,,,
Asphalion,hive,2022-03-23 21:22:41.653597,,,
Banco Caribe,hive,2022-03-23 22:25:15.660169,,,
credenceid.com,lockbit2,2022-03-23 23:20:23.269397,,,
intouchgroup.ne...,lockbit2,2022-03-24 00:35:41.328374,,,
redgwick.com,lockbit2,2022-03-24 02:09:40.960688,,,
ignitarium.com,lockbit2,2022-03-24 02:51:16.205552,,,
LW Group,alphv,2022-03-24 03:29:04.257644,,,
Shapiro and Duncan,conti,2022-03-24 04:26:56.335520,,,
Bradsby Group | bradsbygroup.com,alphv,2022-03-24 05:23:43.289959,,,
Establishment of the Agency for the Environmental Protection of the Marche Region,vicesociety,2022-03-24 06:33:18.661008,,,
3S Standard Sharing Software,stormous,2022-03-24 07:26:38.881978,,,
